icd9_hcup,icd9_omop,icd9_ccs,ccs2,ccs2_desc,hcup_desc,omop_desc,concept_id
02.07,02.07,02.07,1.9,Other OR therapeutic nervous system procedures [9.],SKULL PLATE REMOVAL,Removal of skull plate,2000137
02.11,02.11,02.11,1.9,Other OR therapeutic nervous system procedures [9.],SIMPLE SUTURE OF DURA,Simple suture of dura mater of brain,2000139
02.12,02.12,02.12,1.9,Other OR therapeutic nervous system procedures [9.],BRAIN MENINGE REPAIR NEC,Other repair of cerebral meninges,2000140
02.13,02.13,02.13,1.9,Other OR therapeutic nervous system procedures [9.],MENINGE VESSEL LIGATION,Ligation of meningeal vessel,2000141
02.14,02.14,02.14,1.9,Other OR therapeutic nervous system procedures [9.],CHOROID PLEXECTOMY,Choroid plexectomy,2000142
02.2,02.2,02.2,1.9,Other OR therapeutic nervous system procedures [9.],VENTRICULOSTOMY (end 2010),Ventriculostomy,2000143
02.21,02.21,02.21,1.9,Other OR therapeutic nervous system procedures [9.],INSERT/REPLACE EVD (Begin 2011),Insertion or replacement of external ventricular drain [EVD],40756782
02.22,02.22,02.22,1.9,Other OR therapeutic nervous system procedures [9.],INTRCRAN VENT SHUNT/ANAS (Begin 2011),Intracranial ventricular shunt or anastomosis,40756817
02.31,02.31,02.31,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],VENTRICL SHUNTHEAD/NECK,Ventricular shunt to structure in head and neck,2000145
02.32,02.32,02.32,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],VENTRI SHUNTCIRCULA SYS,Ventricular shunt to circulatory system,2000146
02.33,02.33,02.33,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],VENTRICL SHUNTTHORAX,Ventricular shunt to thoracic cavity,2000147
02.34,02.34,02.34,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],VENTRICL SHUNTABDOMEN,Ventricular shunt to abdominal cavity and organs,2000148
02.35,02.35,02.35,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],VENTRI SHUNTUNINARY SYS,Ventricular shunt to urinary system,2000149
02.39,02.39,02.39,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],OTHER VENTRICULAR SHUNT,Ventricular shunt to extracranial site NEC,2000150
02.42,02.42,02.42,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],REPLACE VENTRICLE SHUNT,Replacement of ventricular shunt,2000153
02.43,02.43,02.43,1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],REMOVE VENTRICLE SHUNT,Removal of ventricular shunt,2000154
02.91,02.91,02.91,1.9,Other OR therapeutic nervous system procedures [9.],LYSIS CORTICAL ADHESION,Lysis of cortical adhesions,2000156
02.92,02.92,02.92,1.9,Other OR therapeutic nervous system procedures [9.],BRAIN REPAIR,Repair of brain,2000157
02.93,02.93,02.93,1.9,Other OR therapeutic nervous system procedures [9.],IMPLANT BRAIN STIMULATOR,Implantation or replacement of intracranial neurostimulator lead(s),2000158
02.94,02.94,02.94,1.9,Other OR therapeutic nervous system procedures [9.],INSERT/REPLAC SKULL TONG,Insertion or replacement of skull tongs or halo traction device,2000159
02.99,02.99,02.99,1.9,Other OR therapeutic nervous system procedures [9.],SKULL & BRAIN OP NEC,"Other operations on skull, brain, and cerebral meninges",2000162
03.01,03.01,03.01,1.9,Other OR therapeutic nervous system procedures [9.],REMOVAL FB SPINAL CANAL,Removal of foreign body from spinal canal,2000165
03.02,03.02,03.02,1.3,Laminectomy; excision intervertebral disc [3.],REOPEN LAMINECTOMY SITE,Reopening of laminectomy site,2000166
03.09,03.09,03.09,1.3,Laminectomy; excision intervertebral disc [3.],SPINAL CANAL EXPLOR NEC,Other exploration and decompression of spinal canal,2000167
03.1,03.1,03.1,1.9,Other OR therapeutic nervous system procedures [9.],INTRASPIN NERVE ROOT DIV,Division of intraspinal nerve root,2000168
03.21,03.21,03.21,1.8,Other non-OR or closed therapeutic nervous system procedures [8.],PERCUTANEOUS CHORDOTOMY,Percutaneous chordotomy,2000170
03.29,03.29,03.29,1.9,Other OR therapeutic nervous system procedures [9.],OTHER CHORDOTOMY,Other chordotomy,2000171
03.4,03.4,03.4,1.9,Other OR therapeutic nervous system procedures [9.],EXCIS SPINAL CORD LESION,Excision or destruction of lesion of spinal cord or spinal meninges,2000176
03.51,03.51,03.51,1.9,Other OR therapeutic nervous system procedures [9.],SPINE MENINGOCELE REPAIR,Repair of spinal meningocele,2000178
03.52,03.52,03.52,1.9,Other OR therapeutic nervous system procedures [9.],MYELOMENINGOCEL REPAIR,Repair of spinal myelomeningocele,2000179
03.53,03.53,03.53,1.9,Other OR therapeutic nervous system procedures [9.],VERTEBRAL FX REPAIR,Repair of vertebral fracture,2000180
03.59,03.59,03.59,1.9,Other OR therapeutic nervous system procedures [9.],SPINAL STRUCT REPAIR NEC,Other repair and plastic operations on spinal cord structures,2000181
03.6,03.6,03.6,1.9,Other OR therapeutic nervous system procedures [9.],SPINAL CORD ADHESIOLYSIS,Lysis of adhesions of spinal cord and nerve roots,2000182
03.71,03.71,03.71,1.9,Other OR therapeutic nervous system procedures [9.],SUBARACHPERITON SHUNT,Spinal subarachnoid-peritoneal shunt,2000184
03.72,03.72,03.72,1.9,Other OR therapeutic nervous system procedures [9.],SUBARACHURETERAL SHUNT,Spinal subarachnoid-ureteral shunt,2000185
03.79,03.79,03.79,1.9,Other OR therapeutic nervous system procedures [9.],OTH SPINAL THECAL SHUNT,Other shunt of spinal theca,2000186
03.93,03.93,03.93,1.5,Insertion of catheter or spinal stimulator and injection into spinal canal [5.],INSERT SPINAL STIMULATOR,Implantation or replacement of spinal neurostimulator lead(s),2000192
03.94,03.94,03.94,1.5,Insertion of catheter or spinal stimulator and injection into spinal canal [5.],REMOVE SPINAL STIMULATOR,Removal of spinal neurostimulator lead(s),2000193
03.97,03.97,03.97,1.9,Other OR therapeutic nervous system procedures [9.],REVISE SPINE THECA SHUNT,Revision of spinal thecal shunt,2000196
03.98,03.98,03.98,1.9,Other OR therapeutic nervous system procedures [9.],REMOVE SPINE THECA SHUNT,Removal of spinal thecal shunt,2000197
03.99,03.99,03.99,1.9,Other OR therapeutic nervous system procedures [9.],SPINE CANAL STRUC OP NEC,Other operations on spinal cord and spinal canal structures,2000198
04.01,04.01,04.01,1.9,Other OR therapeutic nervous system procedures [9.],ACOUSTIC NEUROTOMY,Excision of acoustic neuroma,2000201
04.02,04.02,04.02,1.9,Other OR therapeutic nervous system procedures [9.],TRIGEMINAL NERV DIVISION,Division of trigeminal nerve,2000202
04.03,04.03,04.03,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH NERVE DIV NEC,Division or crushing of other cranial and peripheral nerves,2000203
04.04,04.04,04.04,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH NERVE INCIS NEC,Other incision of cranial and peripheral nerves,2000204
04.05,04.05,04.05,1.9,Other OR therapeutic nervous system procedures [9.],GASSERIAN GANGLIONECTOMY,Gasserian ganglionectomy,2000205
04.06,04.06,04.06,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH GANGLIONECT NEC,Other cranial or peripheral ganglionectomy,2000206
04.07,04.07,04.07,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH NERV EXCISION NEC,Other excision or avulsion of cranial and peripheral nerves,2000207
04.3,04.3,04.3,1.9,Other OR therapeutic nervous system procedures [9.],PERIPHERAL NERVE SUTURE,Suture of cranial and peripheral nerves,2000213
04.41,04.41,04.41,1.9,Other OR therapeutic nervous system procedures [9.],DECOMPRESS TRIGEM ROOT,Decompression of trigeminal nerve root,2000215
04.42,04.42,04.42,1.9,Other OR therapeutic nervous system procedures [9.],CRAN NERV ROOT DECOM NEC,Other cranial nerve decompression,2000216
04.43,04.43,04.43,1.6,Decompression peripheral nerve [6.],CARPAL TUNNEL RELEASE,Release of carpal tunnel,2000217
04.44,04.44,04.44,1.6,Decompression peripheral nerve [6.],TARSAL TUNNEL RELEASE,Release of tarsal tunnel,2000218
04.49,04.49,04.49,1.6,Decompression peripheral nerve [6.],PER NERVE ADHESIOLYS NEC,Other peripheral nerve or ganglion decompression or lysis of adhesions,2000219
04.5,04.5,04.5,1.9,Other OR therapeutic nervous system procedures [9.],PERIPHERAL NERVE GRAFT,Cranial or peripheral nerve graft,2000220
04.6,04.6,04.6,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH NERVE TRANSPOSIT,Transposition of cranial and peripheral nerves,2000221
04.71,04.71,04.71,1.9,Other OR therapeutic nervous system procedures [9.],HYPOGLOSSFACIAL ANASTOM,Hypoglossal-facial anastomosis,2000223
04.72,04.72,04.72,1.9,Other OR therapeutic nervous system procedures [9.],ACCESSORYFACIAL ANASTOM,Accessory-facial anastomosis,2000224
04.73,04.73,04.73,1.9,Other OR therapeutic nervous system procedures [9.],ACCESSHYPOGLOSS ANASTOM,Accessory-hypoglossal anastomosis,2000225
04.74,04.74,04.74,1.9,Other OR therapeutic nervous system procedures [9.],PERIPH NERV ANASTOM NEC,Other anastomosis of cranial or peripheral nerve,2000226
04.75,04.75,04.75,1.9,Other OR therapeutic nervous system procedures [9.],POSTOP REVIS PER NERV OP,Revision of previous repair of cranial and peripheral nerves,2000227
04.76,04.76,04.76,1.9,Other OR therapeutic nervous system procedures [9.],LATE REPAIR PER NERV INJ,Repair of old traumatic injury of cranial and peripheral nerves,2000228
04.79,04.79,04.79,1.9,Other OR therapeutic nervous system procedures [9.],OTHER NEUROPLASTY,Other neuroplasty,2000229
04.91,04.91,04.91,1.9,Other OR therapeutic nervous system procedures [9.],NEURECTASIS,Neurectasis,2000235
04.92,04.92,04.92,1.9,Other OR therapeutic nervous system procedures [9.],IMPLANT PERIPH STIMULAT,Implantation or replacement of peripheral neurostimulator lead(s),2000236
04.93,04.93,04.93,1.9,Other OR therapeutic nervous system procedures [9.],REMOVE PERIPH STIMULATOR,Removal of peripheral neurostimulator lead(s),2000237
04.99,04.99,04.99,1.9,Other OR therapeutic nervous system procedures [9.],PERIPHERAL NERVE OPS NEC,Other operations on cranial and peripheral nerves,2000238
05.0,05.0,05.0,1.9,Other OR therapeutic nervous system procedures [9.],SYMPATH NERVE DIVISION,Division of sympathetic nerve or ganglion,2000240
05.21,05.21,05.21,1.9,Other OR therapeutic nervous system procedures [9.],SPHENOPALATIN GANGLIONEC,Sphenopalatine ganglionectomy,2000245
05.22,05.22,05.22,1.9,Other OR therapeutic nervous system procedures [9.],CERVICAL SYMPATHECTOMY,Cervical sympathectomy,2000246
05.23,05.23,05.23,1.9,Other OR therapeutic nervous system procedures [9.],LUMBAR SYMPATHECTOMY,Lumbar sympathectomy,2000247
05.24,05.24,05.24,1.9,Other OR therapeutic nervous system procedures [9.],PRESACRAL SYMPATHECTOMY,Presacral sympathectomy,2000248
05.25,05.25,05.25,1.9,Other OR therapeutic nervous system procedures [9.],PERIART SYMPATHECT (Begin 1995),Periarterial sympathectomy,2000249
05.29,05.29,05.29,1.9,Other OR therapeutic nervous system procedures [9.],OTHER SYMPATHECTOMY,Other sympathectomy and ganglionectomy,2000250
05.81,05.81,05.81,1.9,Other OR therapeutic nervous system procedures [9.],SYMPATHETIC NERVE REPAIR,Repair of sympathetic nerve or ganglion,2000256
05.89,05.89,05.89,1.9,Other OR therapeutic nervous system procedures [9.],SYMPATHETIC NERVE OP NEC,Other operations on sympathetic nerves or ganglia,2000257
05.9,05.9,05.9,1.9,Other OR therapeutic nervous system procedures [9.],OTHER NERVOUS SYSTEM OPS,Other operations on nervous system,2000258
06.02,06.02,06.02,2.3,Other therapeutic endocrine procedures [12.],REOPEN THYROID FIELD WND,Reopening of wound of thyroid field,2000262
06.09,06.09,06.09,2.3,Other therapeutic endocrine procedures [12.],INCIS THYROID FIELD NEC,Other incision of thyroid field,2000263
06.2,06.2,06.2,2.1,Thyroidectomy; partial or complete [10.],UNILAT THYROID LOBECTOMY,Unilateral thyroid lobectomy,2000269
06.31,06.31,06.31,2.1,Thyroidectomy; partial or complete [10.],EXCISION THYROID LESION,Excision of lesion of thyroid,2000271
06.39,06.39,06.39,2.1,Thyroidectomy; partial or complete [10.],PART THYROIDECTOMY NEC,Other partial thyroidectomy,2000272
06.4,06.4,06.4,2.1,Thyroidectomy; partial or complete [10.],COMPLETE THYROIDECTOMY,Complete thyroidectomy,2000273
06.50,06.50,06.50,2.1,Thyroidectomy; partial or complete [10.],SUBSTERN THYROIDECT NOS,"Substernal thyroidectomy, not otherwise specified",2000275
06.51,06.51,06.51,2.1,Thyroidectomy; partial or complete [10.],PART SUBSTERN THYROIDECT,Partial substernal thyroidectomy,2000276
06.52,06.52,06.52,2.1,Thyroidectomy; partial or complete [10.],TOT SUBSTERN THYROIDECT,Complete substernal thyroidectomy,2000277
06.6,06.6,06.6,2.1,Thyroidectomy; partial or complete [10.],LINGUAL THYROID EXCISION,Excision of lingual thyroid,2000278
06.7,06.7,06.7,2.3,Other therapeutic endocrine procedures [12.],THYROGLOSS DUCT EXCISION,Excision of thyroglossal duct or tract,2000279
06.81,06.81,06.81,2.3,Other therapeutic endocrine procedures [12.],TOTAL PARATHYROIDECTOMY,Complete parathyroidectomy,2000281
06.89,06.89,06.89,2.3,Other therapeutic endocrine procedures [12.],OTHER PARATHYROIDECTOMY,Other parathyroidectomy,2000282
06.91,06.91,06.91,2.3,Other therapeutic endocrine procedures [12.],THYROID ISTHMUS DIVISION,Division of thyroid isthmus,2000284
06.92,06.92,06.92,2.3,Other therapeutic endocrine procedures [12.],THYROID VESSEL LIGATION,Ligation of thyroid vessels,2000285
06.93,06.93,06.93,2.3,Other therapeutic endocrine procedures [12.],THYROID SUTURE,Suture of thyroid gland,2000286
06.94,06.94,06.94,2.3,Other therapeutic endocrine procedures [12.],THYROID REIMPLANTATION,Thyroid tissue reimplantation,2000287
06.95,06.95,06.95,2.3,Other therapeutic endocrine procedures [12.],PARATHYROID REIMPLANT,Parathyroid tissue reimplantation,2000288
06.98,06.98,06.98,2.3,Other therapeutic endocrine procedures [12.],OTHER THYROID OPERATIONS,Other operations on thyroid glands,2000289
06.99,06.99,06.99,2.3,Other therapeutic endocrine procedures [12.],OTHER PARATHYROID OPS,Other operations on parathyroid glands,2000290
07.00,07.00,07.00,2.2,Diagnostic endocrine procedures [11.],ADRENAL EXPLORATION NOS,"Exploration of adrenal field, not otherwise specified",2000293
07.01,07.01,07.01,2.2,Diagnostic endocrine procedures [11.],UNILAT ADRENAL EXPLORAT,Unilateral exploration of adrenal field,2000294
07.02,07.02,07.02,2.2,Diagnostic endocrine procedures [11.],BILAT ADRENAL EXPLORAT,Bilateral exploration of adrenal field,2000295
07.21,07.21,07.21,2.3,Other therapeutic endocrine procedures [12.],ADRENAL LESION EXCISION,Excision of lesion of adrenal gland,2000306
07.22,07.22,07.22,2.3,Other therapeutic endocrine procedures [12.],UNILATERAL ADRENALECTOMY,Unilateral adrenalectomy,2000307
07.29,07.29,07.29,2.3,Other therapeutic endocrine procedures [12.],PART ADRENALECTOMY NEC,Other partial adrenalectomy,2000308
07.3,07.3,07.3,2.3,Other therapeutic endocrine procedures [12.],BILATERAL ADRENALECTOMY,Bilateral adrenalectomy,2000309
07.41,07.41,07.41,2.3,Other therapeutic endocrine procedures [12.],ADRENAL INCISION,Incision of adrenal gland,2000311
07.42,07.42,07.42,2.3,Other therapeutic endocrine procedures [12.],ADRENAL NERVE DIVISION,Division of nerves to adrenal glands,2000312
07.43,07.43,07.43,2.3,Other therapeutic endocrine procedures [12.],ADRENAL VESSEL LIGATION,Ligation of adrenal vessels,2000313
07.44,07.44,07.44,2.3,Other therapeutic endocrine procedures [12.],ADRENAL REPAIR,Repair of adrenal gland,2000314
07.45,07.45,07.45,2.3,Other therapeutic endocrine procedures [12.],ADRENAL REIMPLANTATION,Reimplantation of adrenal tissue,2000315
07.49,07.49,07.49,2.3,Other therapeutic endocrine procedures [12.],ADRENAL OPERATION NEC,"Other operations on adrenal glands, nerves, and vessels",2000316
07.51,07.51,07.51,2.2,Diagnostic endocrine procedures [11.],PINEAL FIELD EXPLORATION,Exploration of pineal field,2000318
07.52,07.52,07.52,2.3,Other therapeutic endocrine procedures [12.],PINEAL GLAND INCISION,Incision of pineal gland,2000319
07.53,07.53,07.53,2.3,Other therapeutic endocrine procedures [12.],PARTIAL PINEALECTOMY,Partial excision of pineal gland,2000320
07.54,07.54,07.54,2.3,Other therapeutic endocrine procedures [12.],TOTAL PINEALECTOMY,Total excision of pineal gland,2000321
07.59,07.59,07.59,2.3,Other therapeutic endocrine procedures [12.],PINEAL OPERATION NEC,Other operations on pineal gland,2000322
07.61,07.61,07.61,2.3,Other therapeutic endocrine procedures [12.],EXC PITUIT LESTRANSFRON,"Partial excision of pituitary gland, transfrontal approach",2000324
07.62,07.62,07.62,2.3,Other therapeutic endocrine procedures [12.],EXC PITUIT LESTRANSPHEN,"Partial excision of pituitary gland, transsphenoidal approach",2000325
07.63,07.63,07.63,2.3,Other therapeutic endocrine procedures [12.],PART EXCIS PITUITARY NOS,"Partial excision of pituitary gland, unspecified approach",2000326
07.64,07.64,07.64,2.3,Other therapeutic endocrine procedures [12.],TOT EXC PITUITTRANSFRON,"Total excision of pituitary gland, transfrontal approach",2000327
07.65,07.65,07.65,2.3,Other therapeutic endocrine procedures [12.],TOT EXC PITUITTRANSPHEN,"Total excision of pituitary gland, transsphenoidal approach",2000328
07.68,07.68,07.68,2.3,Other therapeutic endocrine procedures [12.],TOTAL EXC PITUITARY NEC,"Total excision of pituitary gland, other specified approach",2000329
07.69,07.69,07.69,2.3,Other therapeutic endocrine procedures [12.],TOTAL EXC PITUITARY NOS,"Total excision of pituitary gland, unspecified approach",2000330
07.71,07.71,07.71,2.2,Diagnostic endocrine procedures [11.],PITUITARY FOSSA EXPLORAT,Exploration of pituitary fossa,2000332
07.72,07.72,07.72,2.3,Other therapeutic endocrine procedures [12.],PITUITARY GLAND INCISION,Incision of pituitary gland,2000333
07.79,07.79,07.79,2.3,Other therapeutic endocrine procedures [12.],PITUITARY OPERATION NEC,Other operations on hypophysis,2000334
07.80,07.80,07.80,2.3,Other therapeutic endocrine procedures [12.],THYMECTOMY NOS,"Thymectomy, not otherwise specified",2000336
07.81,07.81,07.81,2.3,Other therapeutic endocrine procedures [12.],PART EXCISION OF THYMUS,Other partial excision of thymus,2000337
07.82,07.82,07.82,2.3,Other therapeutic endocrine procedures [12.],TOTAL EXCISION OF THYMUS,Other total excision of thymus,2000338
07.83,07.83,07.83,2.3,Other therapeutic endocrine procedures [12.],THORAC PART EXISN THYMUS (Begin 2007),Thoracoscopic partial excision of thymus,2000339
07.84,07.84,07.84,2.3,Other therapeutic endocrine procedures [12.],THORAC TOTAL EXC THYMUS (Begin 2007),Thoracoscopic total excision of thymus,2000340
07.91,07.91,07.91,2.2,Diagnostic endocrine procedures [11.],THYMUS FIELD EXPLORATION,Exploration of thymus field,2000342
07.92,07.92,07.92,2.3,Other therapeutic endocrine procedures [12.],INCISION OF THYMUS,Other incision of thymus,2000343
07.93,07.93,07.93,2.3,Other therapeutic endocrine procedures [12.],REPAIR OF THYMUS,Repair of thymus,2000344
07.94,07.94,07.94,2.3,Other therapeutic endocrine procedures [12.],THYMUS TRANSPLANTATION,Transplantation of thymus,2000345
07.95,07.95,07.95,2.3,Other therapeutic endocrine procedures [12.],THORAC INCISION THYMUS (Begin 2007),Thoracoscopic incision of thymus,2000346
07.98,07.98,07.98,2.3,Other therapeutic endocrine procedures [12.],OTH THORAC OP THYMUS NOS (Begin 2007),Other and unspecified thoracoscopic operations on thymus,2000347
07.99,07.99,07.99,2.3,Other therapeutic endocrine procedures [12.],THYMUS OPERATION NEC,Other and unspecified operations on thymus,2000348
08.20,08.20,08.20,3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],REMOVE EYELID LESION NOS,"Removal of lesion of eyelid, not otherwise specified",2000358
08.21,08.21,08.21,3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],CHALAZION EXCISION,Excision of chalazion,2000359
08.22,08.22,08.22,3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],EXCISE MINOR LES LID NEC,Excision of other minor lesion of eyelid,2000360
08.23,08.23,08.23,3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],EXC MAJ LES LID PRTTHIC,"Excision of major lesion of eyelid, partial-thickness",2000361
08.24,08.24,08.24,3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],EXC MAJ LES LID FULTHIC,"Excision of major lesion of eyelid, full-thickness",2000362
